release_date,title,production_budget,domestic_gross,worldwide_gross,studio,foreign_gross,release_season,profit
2012-05-04 00:00:00,A Little Bit of Heaven,12500000.0,1400000.0,1100287.0,unknown,18700000.0,Spring,-11399713.0
unknown,A Little Chaos,17000000.0,558000.0,10058000.0,FCW,9500000.0,Winter,-6942000.0
2012-03-20 00:00:00,A Lonely Place to Die,4000000.0,1400000.0,442550.0,unknown,18700000.0,Spring,-3557450.0
unknown,A Long Way Down,17000000.0,13300.0,7213300.0,Magn.,7200000.0,Winter,-9786700.0
2005-04-22 00:00:00,A Lot Like Love,25000000.0,1400000.0,41921590.0,unknown,18700000.0,Spring,16921590.0
1994-11-23 00:00:00,A Low Down Dirty Shame,10000000.0,1400000.0,29317886.0,unknown,18700000.0,Fall,19317886.0
2003-04-04 00:00:00,A Man Apart,36000000.0,1400000.0,43797731.0,unknown,18700000.0,Spring,7797731.0
unknown,A Man Called Ove,17000000.0,3500000.0,22200000.0,MBox,18700000.0,Winter,5200000.0
1966-12-12 00:00:00,A Man for All Seasons,3900000.0,1400000.0,28350000.0,unknown,18700000.0,Winter,24450000.0
unknown,A Melody to Remember,17000000.0,44300.0,18744300.0,CJ,18700000.0,Winter,1744300.0
1992-04-24 00:00:00,A Midnight Clear,5000000.0,1400000.0,1526697.0,unknown,18700000.0,Spring,-3473303.0
2007-06-22 00:00:00,A Mighty Heart,15000000.0,1400000.0,19153568.0,unknown,18700000.0,Summer,4153568.0
2003-04-16 00:00:00,A Mighty Wind,6000000.0,1400000.0,18504539.0,unknown,18700000.0,Spring,12504539.0
2014-05-30 00:00:00,A Million Ways to Die in The West,40000000.0,1400000.0,86778557.0,unknown,18700000.0,Spring,46778557.0
unknown,A Million Ways to Die in the West,17000000.0,43100000.0,87200000.0,Uni.,44100000.0,Winter,70200000.0
unknown,A Monster Calls,17000000.0,3700000.0,47300000.0,Focus,43600000.0,Winter,30300000.0
2017-01-06 00:00:00,A Monster Calls,43000000.0,1400000.0,46414530.0,unknown,18700000.0,Winter,3414530.0
unknown,A Monster with a Thousand Heads,17000000.0,24900.0,18724900.0,MBox,18700000.0,Winter,1724900.0
unknown,A Most Violent Year,17000000.0,5700000.0,12000000.0,A24,6300000.0,Winter,-5000000.0
2014-12-31 00:00:00,A Most Violent Year,20000000.0,1400000.0,8846875.0,unknown,18700000.0,Winter,-11153125.0
unknown,A Most Wanted Man,17000000.0,17200000.0,36200000.0,RAtt.,19000000.0,Winter,19200000.0
2014-07-25 00:00:00,A Most Wanted Man,15000000.0,1400000.0,36068890.0,unknown,18700000.0,Summer,21068890.0
1998-10-02 00:00:00,A Night at the Roxbury,17000000.0,1400000.0,30331165.0,unknown,18700000.0,Fall,13331165.0
1987-02-27 00:00:00,A Nightmare On Elm Street 3: Dream Warriors,5000000.0,1400000.0,44793222.0,unknown,18700000.0,Winter,39793222.0
1989-08-11 00:00:00,A Nightmare On Elm Street: The Dream Child,6000000.0,1400000.0,22168359.0,unknown,18700000.0,Summer,16168359.0
2010-04-30 00:00:00,A Nightmare on Elm Street,35000000.0,1400000.0,117729621.0,unknown,18700000.0,Spring,82729621.0
1984-11-09 00:00:00,A Nightmare on Elm Street,1800000.0,1400000.0,25504513.0,unknown,18700000.0,Fall,23704513.0
unknown,A Nightmare on Elm Street (2010),17000000.0,63100000.0,115700000.0,WB (NL),52600000.0,Winter,98700000.0
1988-08-19 00:00:00,A Nightmare on Elm Street 4: The Dream Master,13000000.0,1400000.0,49369899.0,unknown,18700000.0,Summer,36369899.0
1985-11-01 00:00:00,A Nightmare on Elm Street Part 2: Freddy's Revenge,3000000.0,1400000.0,21163999.0,unknown,18700000.0,Fall,18163999.0
unknown,A Paris Education,17000000.0,21600.0,18721600.0,KL,18700000.0,Winter,1721600.0
